Name;Date;Place;Age;Contacts
Naughty Fest festival;Saturday 31st July 2021;Bushey Sports Club in Bushey;Minimum age: 18;"Name: Bushey Sports Club; Address: Aldenham Road, Bushey, WD23 2TR; Phone: 01923  243947; Venue short url: https://www.skiddle.com/venues/47418/; Type of venue: Sports; "
MFor Festival;Saturday 31st July 2021;Lydiard Park in Swindon;No age restrictions;"Name: Lydiard Park; Phone: 01793 445500; Capacity: 18500; Dress code: Casual; Food served: Yes; Parking: On site parking; Address: Lydiard Park, Hook Street, Lydiard Tregoze, Swindon, SN5 3PA; Venue short url: https://www.skiddle.com/venues/21130/; Type of venue: Outdoors; Drinks served: Yes; Disabled facilities: Yes; Nearest Train Station: Swindon; "
BeachJam festival;Saturday 31st July 2021;Majuba Beach in Redcar;Minimum age: 18;"Name: Majuba Beach; Phone: 07826526582; Type of venue: Outdoors; Opening hours: 1pm - 11pm; Address: Majuba Beach , Redcar, TS10 5BJ; Venue short url: https://www.skiddle.com/venues/41926/; Dress code: Just about anything goes, itâ€™s a beach!; "
Let's Rock Liverpool! festival;Saturday 31st July 2021;Wavertree Playing Fields (Mystery) in Liverpool;No age restrictions;"Name: Wavertree Playing Fields (Mystery); Address: Liverpool, Liverpool, L15 4LE; Phone: ; Venue short url: https://www.skiddle.com/venues/102776/; Type of venue: Outdoors; "
Coloursfest festival;Saturday 31st July 2021;Braehead Arena in Glasgow;Minimum age: 18;"Name: Braehead Arena; Address: Kings Inch Road, Glasgow, G51 4BS; Phone: 0141 885 4611; Venue short url: https://www.skiddle.com/venues/1753/; Type of venue: Live; "
Liverpool Disco Festival;Saturday 31st July 2021;Camp And Furnace in Liverpool;Minimum age: 18;"Name: Camp And Furnace; Phone: 0151 708 2890; Venue short url: https://www.skiddle.com/venues/30720/; Type of venue: Bar/Pub; Nearest Train Station: Liverpool Central; Address: 67 Greenland Street , Liverpool , L1 0BY; Website: http://www.campandfurnace.com; Capacity: 500 - 2000; Nearest Bus Stop: Stanhope street, Brick Street; "
MADE Festival;Saturday 31st July 2021;Sandwell Valley Country Park in Sandwell;Minimum age: 16;"Name: Sandwell Valley Country Park; Address: Sandwell Valley Country Park, Sandwell Valley Country Park, Sandwell, B71 4BG, Sandwell, B71 4BG; Phone: ; Venue short url: https://www.skiddle.com/venues/93944/; Type of venue: Outdoors; "
Save The Rave: 90s Festival;Saturday 31st July 2021;Victoria Park Southport in Southport;Minimum age: 18;"Name: Victoria Park Southport; Phone: 01704 547 147; Capacity: 200; Opening hours: 11am; Parking: Provided; Address: Rotton Row, Southport, PR8 2BZ; Venue short url: https://www.skiddle.com/venues/37732/; Type of venue: Outdoors; Disabled facilities: yes; Nearest Bus Stop: Southport Bus Station; "
The Popworld Festival;Saturday 31st July 2021;Millennium Square in Leeds;Minimum age: 18;"Name: Millennium Square; Phone: 0113 378 6988; Venue short url: https://www.skiddle.com/venues/49918/; Disabled facilities: Accessible viewing area, High Dependency Unit/Changing Places Toilet; Address:  Millennium Square, Calverley Street , Leeds, LS1 1UR; Website: http://www.millsqleeds.com; Type of venue: Outdoors; Nearest Train Station: Leeds Train Station; "
In The Park with McFly + Special Guests festival;Saturday 31st July 2021;Garon Park in Southend-On-Sea;Minimum age: 12;"Name: Garon Park; Phone: 07968 779950; Venue short url: https://www.skiddle.com/venues/44340/; Music Policy: All kinds; Ambiance: Yes; Clientele: All ages ; Drinks served: Yes ; Disabled facilities: Yes; Nearest Bus Stop: Cluny square; Address:  Eastern Avenue, Southend-on-Sea, SS2 4FA, Southend-On-Sea, SS2 4FA; Website: https://www.facebook.com/intheparkconcerts/?ref=settings; Capacity: 10,000; Type of venue: Outdoors; Dress code: none; Opening hours: 11am till 11.30pm; Food served: Yes; Parking: 2 large free car parks; Nearest Train Station: Prittlewell; "
UB40 Live From The Valley festival;Sunday 1st August 2021;Sandwell Valley Country Park in Sandwell;No age restrictions;"Name: Sandwell Valley Country Park; Address: Sandwell Valley Country Park, Sandwell Valley Country Park, Sandwell, B71 4BG, Sandwell, B71 4BG; Phone: ; Venue short url: https://www.skiddle.com/venues/93944/; Type of venue: Outdoors; "
Look-A-Like Festival: Outdoor Tribute Festival;Sunday 1st August 2021;Victoria Park Southport in Southport;No age restrictions;"Name: Victoria Park Southport; Phone: 01704 547 147; Capacity: 200; Opening hours: 11am; Parking: Provided; Address: Rotton Row, Southport, PR8 2BZ; Venue short url: https://www.skiddle.com/venues/37732/; Type of venue: Outdoors; Disabled facilities: yes; Nearest Bus Stop: Southport Bus Station; "
Proms in the Priory festival;Sunday 1st August 2021;Gisborough Priory in Guisborough;No age restrictions;"Name: Gisborough Priory; Phone: 07855 494494; Venue short url: https://www.skiddle.com/venues/53824/; Music Policy: Rock, Pop and Disco; Dress code: No dress code. Fancy Dress optional.; Opening hours: 2pm till 11pm; Food served: Yes. Outdoor food village plus option to bring your own picnic.; Parking: Parking locally and at nearby college.; Address: Church Street, Guisborough, TS14 6HG; Website: https://www.english-heritage.org.uk/visit/places/gisborough-priory; Capacity: 2500; Type of venue: Outdoors; Clientele: Over 16's; Drinks served: Yes. Licenced bar plus option to bring your own drink.; Disabled facilities: Access restricted in some areas due to uneven ground.; "
The Sustaina Ball festival;Friday 6th - Sunday 8th August 2021;Tomkins Farm in Lewes;Minimum age: 18;"Name: Tomkins Farm; Phone: ; Capacity: 499; Opening hours: Midday; Address: Cinder Hill, Lewes, BN8 4HP; Venue short url: https://www.skiddle.com/venues/104403/; Type of venue: Outdoors; "
Rivfest 21 festival;Friday 6th - Sunday 8th August 2021;Old Market Square, Warrington in Warrington;Minimum age: 18;"Name: Old Market Square, Warrington; Address: Old Market Square, Warrington, WA1 1QB; Phone: 01925 655053; Venue short url: https://www.skiddle.com/venues/23142/; Type of venue: Outdoors; "
Party at the Palace festival;Friday 6th - Sunday 8th August 2021;Lochside Field Linlithgow in Linlithgow;No age restrictions;"Name: Lochside Field Linlithgow; Phone: ; Capacity: 9000; Type of venue: Outdoors; Dress code: Casual / Festival; Opening hours: 12.00; Food served: Various Food Outlets; Parking: Next to the event site; Nearest Train Station: Linlithgow; Address: A803, Linlithgow, EH49 7LP; Venue short url: https://www.skiddle.com/venues/70098/; Music Policy: Pop, Rock, Festival; Ambiance: On Site; Clientele: Family / Festival Goer; Drinks served: Fully Licensed Bars; Disabled facilities: Flight gradient in the field - Disabled toilets available ; Nearest Bus Stop: Linlithgow High Street; "
Clubland On The Beach festival;Friday 6th August 2021;Majuba Beach in Redcar;Minimum age: 18;"Name: Majuba Beach; Phone: 07826526582; Type of venue: Outdoors; Opening hours: 1pm - 11pm; Address: Majuba Beach , Redcar, TS10 5BJ; Venue short url: https://www.skiddle.com/venues/41926/; Dress code: Just about anything goes, itâ€™s a beach!; "
Rewind Festival North;Friday 6th - Sunday 8th August 2021;Capesthorne Hall in Macclesfield;No age restrictions;"Name: Capesthorne Hall; Address:  Congleton Road, Siddington, Macclesfield, Macclesfield, SK11 9JY; Phone: ; Venue short url: https://www.skiddle.com/venues/69767/; Type of venue: Other; "
The Bath Festival Finale;Saturday 7th - Sunday 8th August 2021;The Recreation Ground in Bath;Minimum age: 18;"Name: The Recreation Ground; Phone: 0; Capacity: Bath; Address: Spring Gardens, Bath, BA2 4HY; Venue short url: https://www.skiddle.com/venues/18489/; Type of venue: Sports; "
Southern Sunset Festival;Saturday 7th August 2021;The Oval in Hastings;Minimum age: 18;"Name: The Oval; Phone: ; Capacity: 5000; Type of venue: Outdoors; Clientele: All Welcome; Drinks served: All; Disabled facilities: Yes; Nearest Train Station: Hastings - 5 Minutes Walk. St Leonards - 5 Mins Walk; Address: Bohemia Road, Hastings, TN34 1EU; Venue short url: https://www.skiddle.com/venues/83390/; Music Policy: Music; Dress code: None; Opening hours: 12:00 -23:00; Food served: Varied; Parking: Plenty; "
51st State Festival;Saturday 7th August 2021;Trent Country Park in London;Minimum age: 18;"Name: Trent Country Park; Phone: ; Venue short url: https://www.skiddle.com/venues/89387/; Type of venue: Outdoors; Address:  Cockfosters Road Barnet, Enfield, EN4 0PS; Website: https://new.enfield.gov.uk/services/leisure-and-culture/parks-and-open-spaces/green-enfield/#22; Capacity: 100; Nearest Train Station: Cockfosters; "
FestEvol festival;Saturday 7th - Saturday 14th August 2021;Invisible Wind Factory in Liverpool;Minimum age: 18;"Name: Invisible Wind Factory; Phone: 0151 236 3160; Venue short url: https://www.skiddle.com/venues/70821/; Music Policy: Varies, depending on event; Dress code: Casual; Opening hours: Dependent on event; Food served: No; Nearest Bus Stop: Vandries Street, Dublin Street or Cotton Street; Address: 3 Regent Road, Liverpool, L3 7DS; Website: http://thekazimier.co.uk/; Capacity: 1200; Type of venue: Live; Clientele: Music fans; Drinks served: Yes; Parking: On street parking; Nearest Train Station: Sandhills or Moorfields; "
Metrofest 2021 festival;Sunday 8th August 2021;Trent Country Park in Enfield;Minimum age: 18;"Name: Trent Country Park; Phone: ; Venue short url: https://www.skiddle.com/venues/89387/; Type of venue: Outdoors; Address:  Cockfosters Road Barnet, Enfield, EN4 0PS; Website: https://new.enfield.gov.uk/services/leisure-and-culture/parks-and-open-spaces/green-enfield/#22; Capacity: 100; Nearest Train Station: Cockfosters; "
Bloodstock Open Air festival;Wednesday 11th - Sunday 15th August 2021;Catton Park in Walton Upon Trent;No age restrictions;"Name: Catton Park; Address: Catton Park, Walton Upon Trent, DE12 8LN; Phone: 01283 716311; Venue short url: https://www.skiddle.com/venues/24152/; Type of venue: Outdoors; "
Houghton Festival;Thursday 12th - Sunday 15th August 2021;Houghton Hall in Norfolk;Minimum age: 18;"Name: Houghton Hall; Address: King's Lynn, , Norfolk , PE31 6UE; Phone: 01485 528 569; Venue short url: https://www.skiddle.com/venues/23638/; Type of venue: Outdoors; "
Baltic Weekender festival;Friday 13th - Sunday 15th August 2021;Baltic Triangle in Liverpool;Minimum age: 18;"Name: Baltic Triangle; Phone: ; Venue short url: https://www.skiddle.com/venues/27782/; Address: Jamaica Street, Liverpool, L1 0BS; Website: http://baltictriangle.co.uk; Type of venue: Nightclub; "
Live Forever 90s Festival;Friday 13th - Sunday 15th August 2021;Colebrook Park in Tunbridge Wells,;No age restrictions;"Name: Colebrook Park; Phone: 07909 522141; Venue short url: https://www.skiddle.com/venues/81485/; Music Policy: Live Music; Dress code: Casual; Opening hours: 12:00 - 23:50; Food served: Online Catering; Parking: Off Road FREE; Nearest Train Station: Tonbridge; Address:  Kingstanding Way, Tunbridge Wells, , TN2 3UP; Website: http://www.theultimatetributefest.co.uk/; Capacity: 5000; Type of venue: Outdoors; Clientele: Families; Drinks served: Onsite Catering; Disabled facilities: Yes; Nearest Bus Stop: 500 meters; "
The Big Barn Rally festival;Friday 13th - Saturday 14th August 2021;Whitebottom Farm in Stockport;Minimum age: 18;"Name: Whitebottom Farm; Address: Etherow Country Park, Compstall, Stockport, SK6 5HZ; Phone: ; Venue short url: https://www.skiddle.com/venues/58626/; Type of venue: Outdoors; "
Depot In The Castle  festival;Saturday 14th August 2021;Cardiff Castle in Cardiff;No age restrictions;"Name: Cardiff Castle; Phone: 02920 878 100; Venue short url: https://www.skiddle.com/venues/63044/; Type of venue: Other; Address: Castle Street, Cardiff, CF10 3RB; Website: https://www.cardiffcastle.com/; Capacity: 3,000; Opening hours: 9am-6pm; "
Mardi Gras: Proud in the Park festival;Saturday 14th August 2021;Roundhay Park in Leeds;Minimum age: 18;"Name: Roundhay Park; Address: Roundhay Park, Leeds, LS8 2HH; Phone:  0113 378 600; Venue short url: https://www.skiddle.com/venues/3557/; Type of venue: Outdoors; "
Colour Clash festival;Saturday 14th August 2021;Tredegar Park in Newport;Minimum age: 18;"Name: Tredegar Park; Address: NEWPORT Newport Tredegar Park NP20 3AR, Newport, NP20 3AR; Phone: ; Venue short url: https://www.skiddle.com/venues/78025/; Type of venue: Outdoors; "
Garage Nation Outdoor Festival;Saturday 14th - Sunday 15th August 2021;Addington Park in Croydon, Surrey;Minimum age: 18;"Name: Addington Park; Address: Addington Park, Croydon, Surrey, CR0 5AR; Phone: 08444771000; Venue short url: https://www.skiddle.com/venues/52436/; Type of venue: Outdoors; "
The Milton Keynes Reggae Festival;Saturday 14th August 2021;Campbell Park in Milton Keynes;No age restrictions;"Name: Campbell Park; Address:  Campbell Park, Milton Keynes, MK9, Milton Keynes, MK9 4AD; Phone: 0870 4441505; Venue short url: https://www.skiddle.com/venues/12123/; Type of venue: Outdoors; "
Morley Music Festival;Saturday 14th August 2021;Morley Rugby Club in Leeds;No age restrictions;"Name: Morley Rugby Club; Phone: ; Capacity: 4000; Address: Scatcherd Lane, Morley, Leeds, LS27 0JJ; Venue short url: https://www.skiddle.com/venues/104761/; Type of venue: Sports; "
One Dance festival;Sunday 15th August 2021;Addington Park in Croydon, Surrey;Minimum age: 18;"Name: Addington Park; Address: Addington Park, Croydon, Surrey, CR0 5AR; Phone: 08444771000; Venue short url: https://www.skiddle.com/venues/52436/; Type of venue: Outdoors; "
Herts Fest festival;Sunday 15th August 2021;Herts County Showground in St. Albans;Minimum age: 18;"Name: Herts County Showground; Address: Dunstable Road, St. Albans, AL3 7PT; Phone: ; Venue short url: https://www.skiddle.com/venues/6313/; Type of venue: Outdoors; "
Sonny Fodera & Gorgon City present: Back to Love Bristol festival;Sunday 15th August 2021;Motion in Bristol;Minimum age: 18;"Name: Motion; Phone: ; Capacity: 2800; Type of venue: Nightclub; Drinks served: Several Bars on site.; Disabled facilities: We are keen to promote equality of opportunity for people with disabilities and where possible have taken the necessary steps to meet customer's requirements. Both Motion and The Marble Factory are accessible and wheelchair friendly; Address: 74-78 Avon Street, St Phillips, Bristol, BS2 0PX; Venue short url: https://www.skiddle.com/venues/9204/; Music Policy: Live Music, DJ's. ; Dress code: There are no restrictions, wear whatever you wish! However items of fancy dress may be confiscated if they are deemed to be dangerous.; Food served: Food is available on site.; Parking: There is no parking at the venue, there is limited street parking on Silverthorne Lane and on Feeder road. Click here for more information on local car parks.; "
Green Man Festival 2021;Thursday 19th - Sunday 22nd August 2021;Green Man Festival in Crickhowell, Powys;No age restrictions;"Name: Green Man Festival; Address: Usk Valley, Crickhowell, Powys, NP10 1LP; Phone: -; Venue short url: https://www.skiddle.com/venues/17817/; Type of venue: Outdoors; "
Green Man Festival 2021;Thursday 19th - Sunday 22nd August 2021;Green Man Festival in Crickhowell, Powys;No age restrictions;"Name: Green Man Festival; Address: Usk Valley, Crickhowell, Powys, NP10 1LP; Phone: -; Venue short url: https://www.skiddle.com/venues/17817/; Type of venue: Outdoors; "
ArcTanGent  festival;Thursday 19th - Saturday 21st August 2021;Fernhill Farm in Bristol;No age restrictions;"Name: Fernhill Farm; Address: Fernhill Farm, Cheddar Road, Compton Martin, Bristol, BS40 6LD; Phone: ; Venue short url: https://www.skiddle.com/venues/101144/; Type of venue: Live; "
We Out Here Festival;Thursday 19th - Sunday 22nd August 2021;Grange Farm in Abbots Ripton;No age restrictions;"Name: Grange Farm; Address: Mill Hill Field, Abbots Ripton, PE28 2PH; Phone: ; Venue short url: https://www.skiddle.com/venues/70223/; Type of venue: Nightclub; "
BTID Wonderland - The Inside Out festival;Friday 20th - Saturday 21st August 2021;Valiants Farm in Preston;Minimum age: 18;"Name: Valiants Farm; Phone: ; Capacity: 5000; Address: Valiants Farm, Lancaster Road, Out Rawcliffe, Preston, PR3 6BL; Venue short url: https://www.skiddle.com/venues/79339/; Type of venue: Live; "
Party At The Park festival;Friday 20th - Sunday 22nd August 2021;South Inch in Perth;No age restrictions;"Name: South Inch; Address: South Inch, Shore Road, Perth, PH2 8BW; Phone: ; Venue short url: https://www.skiddle.com/venues/79036/; Type of venue: Outdoors; "
Rewind Festival;Friday 20th - Sunday 22nd August 2021;Temple Island Meadows in HenleyonThames;No age restrictions;"Name: Temple Island Meadows; Phone: ; Venue short url: https://www.skiddle.com/venues/70568/; Address: Henley-on-Thames, HenleyonThames, RG9 3DD; Website: http://www.templeislandmeadows.com/; Type of venue: other; "
Weyfest festival;Friday 20th - Sunday 22nd August 2021;Rural Life Centre Tilford Surrey in Farnham;No age restrictions;"Name: Rural Life Centre Tilford Surrey; Phone: 01252 795571; Venue short url: https://www.skiddle.com/venues/16576/; Address: Reeds Road, Tilford, Farnham, GU10 2DL; Website: http://rural-life.org.uk/; Type of venue: Outdoors; "
A New Day Festival;Friday 20th - Sunday 22nd August 2021;Mount Ephraim Gardens in Faversham;No age restrictions;"Name: Mount Ephraim Gardens; Phone: ; Capacity: 4000; Opening hours: 11am to 11pm; Address: Mount Ephraim Gardens, Staple Street, Hernhill, Faversham, ME13 9TX; Venue short url: https://www.skiddle.com/venues/64966/; Type of venue: Outdoors; "
Let's Rock The North East festival;Saturday 21st August 2021;Herrington Country Park in Sunderland;Minimum age: 18;"Name: Herrington Country Park; Phone: 07702 257911; Venue short url: https://www.skiddle.com/venues/1655/; Type of venue: Outdoors; Address: Herrington Country Park, Sunderland, DH4 7EL; Website: http://www.blockrockinevents.co.uk; Capacity: 15000; "
Rockore festival;Saturday 21st August 2021;Lochore Meadows Country Park in Lochgelly;No age restrictions;"Name: Lochore Meadows Country Park; Phone: ; Capacity: 3000; Opening hours: 12  pm to 10.30 pm; Food served: Various vendors; Nearest Bus Stop: Park entrance - No 19 bus service; Address: Crosshill, Lochgelly, KY5 8BA; Venue short url: https://www.skiddle.com/venues/78713/; Type of venue: Outdoors; Drinks served: Licensed Bar; Parking: Free parking on site; Nearest Train Station: Lochgelly (1.5 miles away); "
Brighton Tattoo Convention festival;Saturday 21st - Sunday 22nd August 2021;Brighton Centre in Brighton;No age restrictions;"Name: Brighton Centre; Phone: 01273 290131; Capacity: 4500; Address: Kings Road, East Sussex , Brighton, BN1 2GR; Venue short url: https://www.skiddle.com/venues/11223/; Type of venue: Live; "
The Great Northern SKA Festival;Saturday 21st August 2021;Bowlers Exhibition Centre in Manchester;Minimum age: 12;"Name: Bowlers Exhibition Centre; Phone: 01618760007; Venue short url: https://www.skiddle.com/venues/30902/; Type of venue: Nightclub; Parking: 800 Free car parking spaces. There is Accessible Parking near the Bowlers Exhibition Centre and limited dedicated accessible parking spaces are available in the venue car park area itself.; Address:  Longbridge Road, Stretford, Manchester, M17 1SN; Website: http://www.bowlersexhibitioncentre.co.uk/; Capacity: 300 up to 4,500; Disabled facilities: Mostly disabled friendly with full access to most areas of the event. There are disabled toilet facilities inside the public toilet areas, and ramps throughout the ground floor and outside.; Nearest Bus Stop: Park Way bus stop (MANJPJPG); "
The One in the Woods festival;Saturday 21st - Sunday 22nd August 2021;Orrell Hill Woods in Liverpool;Minimum age: 18;"Name: Orrell Hill Woods; Phone: ; Capacity: 4999; Address: Orrell Hill Farm, Orrell Hill Lane, Liverpool, L38 5DA; Venue short url: https://www.skiddle.com/venues/103481/; Type of venue: Outdoors; "
elrow Town London festival;Saturday 21st August 2021;Trent Park in London;Minimum age: 18;"Name: Trent Park; Address: Near Cockfosters Station, London, EN4 0PS; Phone: 23424242; Venue short url: https://www.skiddle.com/venues/9281/; Type of venue: Outdoors; "
