Марка;Ссылка;Цена в дол;Цена в грн;Город;Состояние;Характеристики;Фото
Citroen Berlingo пасс. 2020;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1850765.html;28 372 $;772 570 грн;Одеса;В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Живі фото
Citroen C5 Aircross 2020;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1847866.html;30 609 $;833 490 грн;Івано-Франківськ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1860678.html;29 519 $;803 800 грн;Вінниця;В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1853575.html;15 163 $;412 900 грн;Полтава;В наявності;"Бензин 1.2 л;Механічна;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1849989.html;15 608 $;425 000 грн;Полтава;В наявності;"Бензин 1.2 л;Механічна;Передній привід;";Живі фото
Citroen C3 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1863468.html;25 435 $;692 590 грн;Харків;В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Живі фото
Citroen C5 Aircross 2020;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1847910.html;27 036 $;736 180 грн;Херсон;В наявності;"Бензин 1.6 л;Автомат;Передній привід;";Без живих фото
Citroen C3 Aircross 2020;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1859224.html;19 709 $;536 690 грн;Харків;В наявності;"Дизель 1.6 л;Механічна;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1861087.html;20 242 $;551 200 грн;Київ;В наявності;"Дизель 1.6 л;Механічна;";Без живих фото
Citroen C3 Aircross 2020;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1855720.html;20 159 $;548 920 грн;Харків;В наявності;"Дизель 1.6 л;Механічна;Передній привід;";Живі фото
Citroen C3 Aircross 2020;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1846225.html;22 818 $;621 350 грн;Харків;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen C5 Aircross 2020;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1858718.html;29 711 $;809 030 грн;Харків;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen Berlingo пасс. 2020;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1850317.html;27 960 $;761 360 грн;Івано-Франківськ;В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Живі фото
Citroen Berlingo груз. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1859332.html;17 536 $;477 500 грн;Київ;В наявності;"Бензин 1.6 л;Механічна;Передній привід;";Без живих фото
Citroen Space Tourer 2020;https://auto.ria.com/newauto/auto-citroen-space-tourer-1863965.html;42 000 $;1 143 664 грн;Харків;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Без живих фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1862324.html;15 538 $;423 100 грн;Вінниця;Живі фото;"Бензин 1.2 л;Механічна;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1862816.html;32 938 $;34 921 $;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Автомат;Передній привід;";Без живих фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1863496.html;15 424 $;420 000 грн;Київ;В наявності;"Дизель 1.6 л;Механічна;Передній привід;";Без живих фото
Citroen C3 Aircross 2020;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1850710.html;21 586 $;587 780 грн;Вінниця;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1852089.html;20 688 $;563 340 грн;Вінниця;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1846269.html;14 778 $;402 400 грн;Вінниця;В наявності;"Бензин 1.2 л;Механічна;Передній привід;";Живі фото
Citroen C3 Aircross 2020;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1840528.html;22 849 $;622 170 грн;Івано-Франківськ;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1853564.html;34 892 $;950 100 грн;Полтава;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Без живих фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1863882.html;21 241 $;578 381 грн;Кропивницький (Кіровоград);В наявності;"Дизель 1.6 л;Механічна;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1862956.html;28 125 $;765 850 грн;Харків;В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1825712.html;15 424 $;420 000 грн;Полтава;Перевірений VIN-код;"Бензин 1.2 л;Механічна;Передній привід;";Без живих фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1858360.html;19 776 $;538 500 грн;Київ;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen C3 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1861612.html;20 382 $;20 844 $;Черкаси;В наявності;"Дизель 1.6 л;Механічна;Передній привід;";Живі фото
Citroen C3 Aircross 2020;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1860807.html;21 667 $;22 218 $;Черкаси;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1860445.html;15 335 $;417 580 грн;Харків;В наявності;"Бензин 1.2 л;Механічна;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1860992.html;20 739 $;564 720 грн;Харків;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1858380.html;20 050 $;545 950 грн;Вінниця;В наявності;"Дизель 1.6 л;Механічна;";Живі фото
Citroen Berlingo груз. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1863906.html;21 218 $;577 760 грн;Харків;В наявності;"Дизель 1.6 л;Механічна;Передній привід;";Без живих фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1858715.html;17 231 $;469 200 грн;Харків;В наявності;"Бензин 1.6 л;Автомат;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1861739.html;14 781 $;402 500 грн;Полтава;Живі фото;"Бензин 1.2 л;Механічна;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1863598.html;31 583 $;860 000 грн;Черкаси;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1859985.html;15 335 $;417 580 грн;Вінниця;Живі фото;"Бензин 1.2 л;Механічна;Передній привід;";Живі фото
Citroen C3 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1860185.html;20 369 $;554 650 грн;Вінниця;Живі фото;"Дизель 1.6 л;Механічна;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1859996.html;15 335 $;417 580 грн;Вінниця;В наявності;"Бензин 1.2 л;Механічна;Передній привід;";Живі фото
Citroen C-Elysee 2020;https://auto.ria.com/newauto/auto-citroen-c-elysee-1844717.html;13 900 $;378 500 грн;Вінниця;В наявності;"Бензин 1.6 л;Механічна;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1859987.html;15 842 $;431 380 грн;Вінниця;Живі фото;"Бензин 1.2 л;Механічна;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1847867.html;20 485 $;557 820 грн;Вінниця;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1857866.html;14 778 $;402 400 грн;Одеса;Живі фото;"Бензин 1.2 л;Механічна;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1853577.html;21 116 $;575 000 грн;Полтава;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Без живих фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1863595.html;22 585 $;615 000 грн;Черкаси;В наявності;"Дизель 1.6 л;Механічна;";Живі фото
Citroen Berlingo пасс. 2020;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1855422.html;23 054 $;627 750 грн;Харків;В наявності;"Дизель 1.6 л;Механічна;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1853562.html;29 519 $;803 800 грн;Полтава;Перевірений VIN-код;"Дизель 1.5 л;Автомат;Передній привід;";Без живих фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1853563.html;30 606 $;833 400 грн;Полтава;Перевірений VIN-код;"Дизель 2.0 л;Автомат;Передній привід;";Без живих фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1843712.html;27 154 $;739 400 грн;Полтава;Перевірений VIN-код;"Бензин 1.6 л;Автомат;Передній привід;";Без живих фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1853560.html;28 549 $;777 400 грн;Полтава;Перевірений VIN-код;"Бензин 1.6 л;Автомат;Передній привід;";Без живих фото
Citroen C3 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1850122.html;20 184 $;549 600 грн;Київ;Живі фото;"Дизель 1.6 л;Механічна;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1861487.html;33 709 $;917 900 грн;Кропивницький (Кіровоград);В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C3 2020;https://auto.ria.com/newauto/auto-citroen-c3-1861173.html;19 611 $;534 000 грн;Черкаси;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen Space Tourer 2020;https://auto.ria.com/newauto/auto-citroen-space-tourer-1857194.html;38 031 $;1 035 600 грн;Київ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1855603.html;21 195 $;577 140 грн;Одеса;Живі фото;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1855597.html;20 688 $;563 340 грн;Одеса;Живі фото;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1848287.html;21 094 $;574 380 грн;Одеса;Живі фото;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen C3 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1844985.html;21 972 $;598 300 грн;Київ;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen C-Elysee 2020;https://auto.ria.com/newauto/auto-citroen-c-elysee-1851951.html;13 955 $;380 000 грн;Черкаси;В наявності;"Бензин 1.6 л;Механічна;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1850835.html;22 265 $;606 290 грн;Вінниця;В наявності;"Дизель 1.6 л;Механічна;";Живі фото
Citroen C-Elysee 2020;https://auto.ria.com/newauto/auto-citroen-c-elysee-1858834.html;13 772 $;375 000 грн;Черкаси;В наявності;"Бензин 1.6 л;Механічна;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1858707.html;20 832 $;567 250 грн;Харків;В наявності;"Дизель 1.6 л;Механічна;";Живі фото
Citroen Space Tourer 2021;https://auto.ria.com/newauto/auto-citroen-space-tourer-1858952.html;42 977 $;44 473 $;Кропивницький (Кіровоград);В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1855778.html;31 101 $;846 890 грн;Одеса;Живі фото;"Дизель 1.5 л;Автомат;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1863601.html;21 300 $;580 000 грн;Черкаси;В наявності;"Дизель 1.6 л;Механічна;";Живі фото
Citroen Berlingo груз. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1860463.html;20 933 $;570 000 грн;Черкаси;В наявності;"Дизель 1.6 л;Механічна;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1860811.html;27 543 $;750 000 грн;Черкаси;В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1862906.html;28 070 $;764 355 грн;Кропивницький (Кіровоград);В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Живі фото
Citroen C3 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1862268.html;23 790 $;647 800 грн;Кропивницький (Кіровоград);В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1862935.html;33 162 $;903 000 грн;Кропивницький (Кіровоград);В наявності;"Дизель 2.0 л;Механічна;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1862414.html;32 361 $;881 200 грн;Кропивницький (Кіровоград);В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1863525.html;34 153 $;34 888 $;Черкаси;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C-Elysee 2020;https://auto.ria.com/newauto/auto-citroen-c-elysee-1850661.html;14 234 $;387 600 грн;Харків;В наявності;"Бензин 1.6 л;Механічна;Передній привід;";Живі фото
Citroen Berlingo груз. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1856678.html;21 310 $;580 280 грн;Вінниця;Живі фото;"Дизель 1.6 л;Механічна;Передній привід;";Живі фото
Citroen Berlingo груз. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1853543.html;20 297 $;552 700 грн;Полтава;Живі фото;"Дизель 1.6 л;Механічна;Передній привід;";Живі фото
Citroen C-Elysee 2020;https://auto.ria.com/newauto/auto-citroen-c-elysee-1852020.html;13 383 $;364 420 грн;Харків;В наявності;"Бензин 1.2 л;Механічна;Передній привід;";Без живих фото
Citroen C3 2020;https://auto.ria.com/newauto/auto-citroen-c3-1850189.html;19 870 $;541 050 грн;Харків;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Без живих фото
Citroen Berlingo груз. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1844442.html;21 218 $;577 760 грн;Полтава;Живі фото;"Дизель 1.6 л;Механічна;Передній привід;";Живі фото
Citroen Space Tourer 2021;https://auto.ria.com/newauto/auto-citroen-space-tourer-1861346.html;44 822 $;1 220 500 грн;Харків;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Без живих фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1850401.html;15 461 $;421 000 грн;Кропивницький (Кіровоград);В наявності;"Бензин 1.6 л;Механічна;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1863293.html;35 145 $;957 000 грн;Черкаси;Живі фото;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1862687.html;20 833 $;567 280 грн;Вінниця;Живі фото;"Дизель 1.6 л;Механічна;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1861970.html;27 801 $;757 020 грн;Харків;В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1862556.html;23 773 $;647 330 грн;Харків;В наявності;"Дизель 1.6 л;Механічна;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1863066.html;31 215 $;850 000 грн;Черкаси;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1848600.html;15 236 $;414 890 грн;Одеса;Живі фото;"Бензин 1.6 л;Механічна;Передній привід;";Живі фото
Citroen Berlingo пасс. 2020;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1858613.html;26 423 $;719 500 грн;Харків;В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Живі фото
Citroen C3 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1860043.html;24 234 $;659 900 грн;Одеса;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1862559.html;23 323 $;635 090 грн;Харків;В наявності;"Дизель 1.6 л;Механічна;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1859790.html;21 250 $;578 630 грн;Харків;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen Jumpy груз. 2020;https://auto.ria.com/newauto/auto-citroen-jumpy-gruz-1847713.html;31 322 $;852 900 грн;Вінниця;Живі фото;"Дизель 2.0 л;Механічна;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1858107.html;20 050 $;545 950 грн;Харків;В наявності;"Дизель 1.6 л;Механічна;";Живі фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1857104.html;36 783 $;1 001 600 грн;Харків;В наявності;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen C3 2020;https://auto.ria.com/newauto/auto-citroen-c3-1847940.html;14 776 $;402 340 грн;Харків;В наявності;"Бензин 1.2 л;Механічна;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1853576.html;16 081 $;437 900 грн;Полтава;Перевірений VIN-код;"Бензин 1.2 л;Механічна;Передній привід;";Без живих фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1819652.html;29 776 $;810 810 грн;Вінниця;В наявності;"Бензин 1.6 л;Автомат;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1842968.html;32 399 $;882 230 грн;Вінниця;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1842604.html;16 959 $;461 790 грн;Вінниця;Живі фото;"Бензин 1.6 л;Автомат;Передній привід;";Живі фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1846238.html;15 509 $;422 300 грн;Вінниця;Живі фото;"Бензин 1.6 л;Механічна;Передній привід;";Живі фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1855605.html;17 894 $;487 260 грн;Одеса;Живі фото;"Бензин 1.6 л;Автомат;Передній привід;";Живі фото
Citroen C-Elysee 2020;https://auto.ria.com/newauto/auto-citroen-c-elysee-1855869.html;14 036 $;382 210 грн;Одеса;В наявності;"Бензин 1.6 л;Механічна;Передній привід;";Живі фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1850758.html;17 231 $;469 200 грн;Одеса;Живі фото;"Бензин 1.6 л;Автомат;Передній привід;";Живі фото
Citroen Space Tourer 2021;https://auto.ria.com/newauto/auto-citroen-space-tourer-1786893.html;43 334 $;1 180 000 грн;Полтава;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Без живих фото
Citroen C5 Aircross 2020;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1861512.html;31 546 $;859 000 грн;Херсон;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Без живих фото
Citroen C-Elysee 2020;https://auto.ria.com/newauto/auto-citroen-c-elysee-1863353.html;13 404 $;365 000 грн;Херсон;В наявності;"Бензин 1.6 л;Механічна;Передній привід;";Без живих фото
Citroen C3 Aircross 2020;https://auto.ria.com/newauto/auto-citroen-c3-aircross-1844287.html;21 998 $;599 000 грн;Херсон;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Без живих фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1859263.html;32 508 $;885 200 грн;Київ;В наявності;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1862474.html;21 715 $;591 300 грн;Київ;В наявності;"Дизель 1.6 л;Механічна;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1845886.html;30 606 $;833 400 грн;Київ;Живі фото;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1847675.html;19 776 $;538 500 грн;Київ;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1860590.html;27 286 $;743 000 грн;Київ;В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1862316.html;35 035 $;954 000 грн;Київ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen Jumpy груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumpy-gruz-1850082.html;32 695 $;890 300 грн;Харків;В наявності;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1863179.html;35 145 $;957 000 грн;Івано-Франківськ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Без живих фото
Citroen Space Tourer 2021;https://auto.ria.com/newauto/auto-citroen-space-tourer-1859932.html;39 111 $;1 065 000 грн;Полтава;В наявності;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen C-Elysee 2021;https://auto.ria.com/newauto/auto-citroen-c-elysee-1838149.html;15 424 $;420 000 грн;Київ;В наявності;"Дизель 1.6 л;Механічна;Передній привід;";Живі фото
Citroen Jumpy груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumpy-gruz-1859327.html;30 327 $;825 800 грн;Київ;В наявності;"Дизель 2.0 л;Механічна;Передній привід;";Без живих фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1862331.html;35 512 $;967 000 грн;Київ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen Jumper груз. 2021;https://auto.ria.com/newauto/auto-citroen-jumper-gruz-1859680.html;33 320 $;907 300 грн;Одеса;В наявності;"Дизель 2.0 л;Механічна;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1862317.html;33 713 $;918 000 грн;Київ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Без живих фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1858392.html;27 811 $;757 290 грн;Вінниця;Живі фото;"Дизель 1.5 л;Автомат;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1860741.html;34 018 $;926 310 грн;Вінниця;Живі фото;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
