nazwa firmy;adres;www;email;telefony;branże
Biuro Ekspertyz i Doradztwa Finansowo-Księgowego FIN-EKSPERT Sp. z o.o.;ul. Zwycięstwa 14875-613 Koszalin;www.finekspert.pl;sekretariat@finekspert.pl;['tel. (94) 342 53 30', 'kom. 601 775 006'];['Audytorskie usługi', 'Biura rachunkowe, doradztwo podatkowe']
BOOKING SERVICE Sp. z o.o. Towarzystwo Audytorskie;ul. Leszczyńskich 980-464 Gdańsk;www.bookingservice.pl;biuro@bookingservice.pl;['tel. (58) 346 66 21', 'tel. (58) 346 59 66', 'fax (58) 511 06 76'];['Audytorskie usługi', 'Biura rachunkowe, doradztwo podatkowe']
EGOTERM Doradztwo i Projektowanie Energooszczędne;osiedle Teatralne 1031-946 Kraków - Nowa-Huta;www.egoterm.com.pl;biuro@egoterm.com.pl;['tel. (12) 686 64 64', 'fax (12) 686 64 65'];['Audytorskie usługi', 'Certyfikaty energetyczne', 'Biura projektów']
Gdańska Kancelaria Ekspertów Księgowych NOTA Sp. z o.o.;ul. Lastadia 35 lok.280-880 Gdańsk;www.nota.com.pl;nota@nota.com.pl;['tel. (58) 301 30 79', 'fax (58) 324 88 89'];['Audytorskie usługi']
Kancelaria Audytorska 2A Sp. z o.o.;ul. Dekabrystów 2244-121 Gliwice;www.audytor2a.pl;2a@audytor2a.pl;['tel./fax (32) 270 70 27', 'kom. 609 621 419'];['Audytorskie usługi', 'Biura rachunkowe, doradztwo podatkowe']
KR Group;ul. Skaryszewska 703-802 Warszawa - Praga-Południe;www.krgroup.pl;office@krgroup.pl;['tel. (22) 262 81 00', 'fax (22) 616 13 38'];['Audytorskie usługi', 'Biura rachunkowe, doradztwo podatkowe', 'Doradztwo']
QUALITY Elżbieta Dural;ul. Warmińska 2205-220 Zielonka;www.qualityed.pl;biuro@qualityed.pl;['kom. 608 289 981', 'tel./fax (22) 781 83 58'];['Audytorskie usługi', 'Certyfikacja i kontrola jakości']
Volvox;ul. Szczyrkowska 843-360 Bystra;www.volvox.pl;volvox@volvox.pl;['tel. (33) 497 99 99', 'tel. (33) 496 47 72', 'fax (33) 496 47 31'];['Audytorskie usługi', 'Informatyka', 'Komputery, oprogramowanie']
A4Business Sp. z o.o. Sp.komandytowa;ul. B. Chrzanowskiego 36a80-278 Gdańsk;www.a4business.pl;biuro@a4business.pl;['kom. 695 464 011', 'kom. 605 990 231'];['Audytorskie usługi', 'Biura rachunkowe, doradztwo podatkowe']
Auditing & Consulting WESSLY Sp. z o.o.;ul. Irysowa 24a02-660 Warszawa - Mokotów;www.wessly.pl;wessly@wessly.pl;['tel. (22) 826 96 12', 'tel. (22) 826 32 78', 'fax (22) 826 91 65'];['Audytorskie usługi', 'Biura rachunkowe, doradztwo podatkowe']
Audyt - BT Biegły Rewident Bogumiła Tołoczko;ul. Przygodna 14 lok. U415-032 Białystok;www.audyt-bt.pl;kontakt@audyt-bt.pl;['kom. 668 844 446'];['Audytorskie usługi', 'Biura rachunkowe, doradztwo podatkowe']
Audit Consulting Municipal Sp. z o.o.;ul. Zgrzebnioka 5841-500 Chorzów;www.municipal.pl;None;['tel./fax (32) 241 47 19', 'kom. 664 422 405'];['Audytorskie usługi', 'Szkolenia, kursy', 'Doradztwo']
AUDYTOR-FINANSE Sp. z o.o.;ul. Grabiszyńska 14353-439 Wrocław - Fabryczna;None;None;['tel. (71) 332 47 81'];['Audytorskie usługi']
BILANS-REWID-STANDARD Biegli Rewidenci i Doradcy Finansowi Sp. z o.o.;ul. Opinogórska 4 lok.3504-039 Warszawa - Praga Południe;www.brs-biegli.pl;None;['tel. (22) 813 33 81', 'kom. 604 270 467'];['Audytorskie usługi']
Biuro Biegłych Rewidentów REW-BI Sp. z o.o.;ul. Lea 11430-133 Kraków - Krowodrza;www.rewbi.pl;None;['tel. (12) 632 67 49', 'fax (12) 632 67 50', 'kom. 601 401 830', 'kom. 601 657 930'];['Audytorskie usługi', 'Biura rachunkowe, doradztwo podatkowe']
DGA Audyt Sp. z o.o.;ul. Towarowa 3561-896 Poznań - Stare Miasto;www.dgaaudyt.pl;None;['tel. (61) 643 55 02', 'tel. (61) 859 59 20', 'fax (61) 859 59 21'];['Audytorskie usługi']
ENERGETYCZNA FIRMA INŻYNIERSKA ENERGO Sp. z o.o.;ul. Elektronowa 1094-103 Łódź - Polesie;www.energo.net.pl;None;['tel./fax (42) 682 61 73', 'kom. 605 035 225'];['Audytorskie usługi', 'Doradztwo', 'Ciepłownictwo, energetyka cieplna', 'Ekspertyzy, wdrożenia, analizy']
Grupa Audytorska CONSILIUM Sp. z o.o.;ul. 5 Lipca 7/1070-375 Szczecin;www.consilium.szczecin.pl;None;['tel./fax (91) 488 93 27'];['Audytorskie usługi']
Invest Dom Sp. z o.o.;Osiedle nad Sołą 2032-650 Kęty;www.investdom.eu;None;['tel. (33) 845 30 90'];['Audytorskie usługi', 'Osuszanie, ocieplanie - sprzęt, usługi', 'Certyfikaty energetyczne']
PRESTIGE Kancelaria Audytorska;ul. Lotników Alianckich 28 Dziekanów Leśny05-092 Łomianki;www.prestige-audyt.pl;None;['kom. 605 187 914'];['Audytorskie usługi', 'Biura rachunkowe, doradztwo podatkowe']
PwC Advisory Sp. z o.o. Sp.komandytowa;ul. Polna 1100-633 Warszawa - Śródmieście;www.pwc.pl;None;['tel. (22) 746 40 00', 'fax (22) 742 40 40'];['Audytorskie usługi', 'Doradztwo', 'Biura rachunkowe, doradztwo podatkowe']
Satelles Audit & Advisory Sp. z o.o.;ul. Czapińskiego 230-048 Kraków - Krowodrza;www.satelles.pl;None;['tel. (12) 444 12 70', 'fax (12) 444 12 73'];['Audytorskie usługi', 'Outsourcing', 'Biura rachunkowe, doradztwo podatkowe']
AB Audyt;ul. Wodna 3590-046 Łódź - Śródmieście;www.ab-audyt.one.pl;None;['tel./fax (42) 672 43 48', 'kom. 607 722 050'];['Biura rachunkowe, doradztwo podatkowe', 'Audytorskie usługi']
ATUT Doradztwo Podatkowe;ul. Wojska Polskiego 17fg67-200 Głogów;www.atut.glogow.pl;None;['tel. (76) 835 67 01', 'tel. (76) 727 20 95'];['Biura rachunkowe, doradztwo podatkowe', 'Audytorskie usługi']
AUDYT EKSPERT;aleja Prymasa Tysiąclecia 81a/1601-242 Warszawa - Wola;www.audytekspert.pl;None;['kom. 604 510 405', 'kom. 604 510 603'];['Biura rachunkowe, doradztwo podatkowe', 'Audytorskie usługi']
BDB AGOS Usługi Audytorskie, Finansowo Księgowe, Doradztwo Sp. z o.o.;ul. Nawrot 4/790-060 Łódź - Śródmieście;www.bdbagos.pl;None;['infolinia 0800 801 011'];['Biura rachunkowe, doradztwo podatkowe', 'Audytorskie usługi']
BHP Service s.c.;ul. Widna 2731-464 Kraków - Śródmieście;www.bhpservice.pl;None;['tel. 12 294 23 21', 'tel./fax 12 411 17 98', 'kom. 602 686 029', 'kom. 602 686 026', 'kom. 602 686 018'];['BHP', 'Szkolenia, kursy', 'Audytorskie usługi']
Biuro Usług Finansowo-Księgowych DEBET Sp. z o.o.;pl. Pocztowy 765-062 Zielona Góra;www.bfk-debet.pl;None;['tel. (68) 324 36 29', 'fax (68) 325 06 22'];['Biura rachunkowe, doradztwo podatkowe', 'Audytorskie usługi']
Deloitte Audyt Sp. z o.o.;al. Jana Pawła II 1900-854 Warszawa - Śródmieście;www.deloitte.com;None;['tel. (22) 511 08 11-12', 'fax (22) 511 08 13'];['Doradztwo', 'Audytorskie usługi']
Elanor Polska Sp. z o.o.;ul. Staromiejska 740-013 Katowice;www.elanor.pl;None;['tel. (32) 352 24 10', 'fax (32) 352 24 11'];['Outsourcing', 'Audytorskie usługi']
EUROSPEKTRUM S.c.;ul. Piotra Skargi 7/450-072 Wrocław - Stare Miasto;www.eurospektrum.pl;None;['tel. (71) 733 69 95', 'fax (71) 733 69 92', 'kom. 664 131 221', 'kom. 664 930 787'];['Fundusze unijne', 'Szkolenia, kursy', 'Audytorskie usługi', 'Outsourcing', 'Doradztwo']
Intertek Poland Sp. z o.o.;ul. Jutrzenki 17702-231 Warszawa - Włochy;www.intertek.pl;None;['tel. (22) 873 90 45', 'fax (22) 863 33 15'];['Certyfikacja i kontrola jakości', 'Audytorskie usługi', 'Laboratoria - usługi, wyposażenie']
Kancelaria Biegłego Rewidenta Usługi Ksiegowe i Audytorskie;ul. Korczaka 2/284-300 Lębork;www.kancelarialejk.pl;None;['kom. 605 130 024'];['Biura rachunkowe, doradztwo podatkowe', 'Audytorskie usługi']
Kancelaria Biegłych Rewidentów Helena Pacewicz-Bejnarowicz, Jadwiga Konieczna Sp.partnerska;ul. Jana z Kolna 3875-204 Koszalin;www.kbr.koszalin.pl;None;['tel./fax (94) 341 01 75', 'kom. 602 450 278', 'kom. 602 450 279'];['Biura rachunkowe, doradztwo podatkowe', 'Audytorskie usługi']
LMB IT Consulting;ul. Jana Matejki 13a05-501 Piaseczno;www.lmb.pl;None;['tel. (22) 100 11 23', 'kom. 609 344 900'];['Doradztwo', 'Audytorskie usługi', 'Komputery, oprogramowanie']
MIST;ul. Korzona 113/1703-571 Warszawa - Targówek;www.auto-europa.pl;None;['tel. (22) 678 96 00', 'fax (22) 211 12 66', 'kom. 607 461 091'];['Internet i usługi hostingowe', 'Szkolenia, kursy', 'Audytorskie usługi']
Fabet-Konstrukcje Sp. z o.o.;ul. Wileńska 225-411 Kielce;www.fabetkonstrukcje.pl;fabet@fabet.com.pl;['tel. (41) 341 79 25 Kielce', 'fax (41) 341 79 10 Kielce', 'tel./fax (22) 110 15 27 Warszawa'];['Budownictwo inżynieryjne']
Przedsiębiorstwo Techniczno Usługowe RADEXPOL;ul. Słowackiego 3255-095 Mirków;www.radexpol.com.pl;biuro@radexpol.pl;['tel. (71) 353 39 03', 'kom. 604 474 829'];['Budownictwo inżynieryjne']
W.P.I.P. Sp. z o.o. Sp.komandytowa;ul. abpa A.Baraniaka 96/9861-245 Poznań - Nowe-Miasto;www.wpip.pl;orriceaswpip-pl;['tel. (61) 875 76 05', 'fax (61) 876 07 99'];['Budownictwo inżynieryjne', 'Firmy budowlane', 'Biura projektów']
AARSLEFF Sp. z o.o.;Aleja Wyścigowa 602-681 Warszawa - Wilanów;www.aarsleff.pl;aarsleff@aarsleff.pl;['tel./fax (22) 648 88 34-35', 'tel. (22) 648 88 36'];['Budownictwo inżynieryjne', 'Instalacje wodno-kanalizacyjne', 'Budownictwo hydrotechniczne', 'Geologia i geofizyka']
CM Construction Sp. z o.o.;ul. Czorsztyńska 28a71-163 Szczecin;www.cm-construction.pl;kontakt@cm-construction.pl;['kom. 501 631 979', 'kom. 602 347 905'];['Budownictwo inżynieryjne', 'Budownictwo hydrotechniczne', 'Maszyny budowlane']
PROMAX Marian Pisarski;Rakowice Wielkie 1959-600 Lwówek Śląski;None;pisarski@promax.eu.com;['kom. 604 937 894', 'kom. 660 409 807', 'tel./fax (75) 782 32 60'];['Budownictwo inżynieryjne', 'Firmy budowlane', 'Dźwigi i urządzenia dźwigowe']
Przedsiębiorstwo Instalacyjno-Montażowe PREIZOL;ul. Leśna 2316-400 Suwałki;www.preizol.ngb.pl;preizolbobrowski@onet.pl;['kom. 602 347 166'];['Budownictwo inżynieryjne', 'Kominki, piece, kotły', 'Instalacje grzewcze i ogrzewanie']
SAWBED Sp. z o.o. Sp.komandytowa;ul. Siłaczki 3/9 lok. 11902-495 Warszawa - Ursus;www.sawbed.waw.pl;sawbed@sawbed.waw.pl;['tel./fax (22) 258 43 59', 'kom. 501 194 071'];['Budownictwo inżynieryjne', 'Instalacje wodno-kanalizacyjne']
SUEZ Consulting - SAFEGE Oddział w Polsce;Aleje Jerozolimskie 13402-305 Warszawa - Ochota;www.safege.pl;biuro@safege.pl;['tel. (22) 479 42 47', 'fax (22) 479 42 48'];['Budownictwo inżynieryjne', 'Biura projektów', 'Nadzór budowlany, kosztorysowanie']
WERMMER-PRZEWIERT S.c.;Sufczyn 23332-852 Dębno;www.wermmer-przewierty.pl;przewierty@interia.eu;['kom. 604 421 297', 'kom. 660 388 517'];['Budownictwo inżynieryjne']
ELMO S.A.;ul. Akacjowa 1 Żelków-Kolonia08-110 Siedlce;www.elmo.com.pl;None;['tel. (25) 643 60 75', 'fax (25) 643 60 95'];['Budownictwo inżynieryjne', 'Energetyka', 'Konstrukcje metalowe, aluminiowe, stalowe']
Lambda S.A.;ul. Morgowa 991-223 Łódź - Bałuty;lambda-sa.pl;recepcja@format-lambda.pl;['tel. (42) 665 89 60', 'tel. (42) 652 15 59', 'fax (42) 652 95 21', 'tel. (42) 652 95 28 zbrojarnia'];['Budownictwo inżynieryjne', 'Izolacje, termoizolacje, hydroizolacje', 'Konstrukcje metalowe, aluminiowe, stalowe', 'Firmy budowlane']
MONTOSTAL SZCZECIN Sp. z o.o.;ul. Energetyków 970-656 Szczecin;www.montostal.szczecin.pl;biuro@montostal.szczecin.pl;['tel. (91) 462 40 88'];['Budownictwo inżynieryjne', 'Budownictwo hydrotechniczne', 'Firmy budowlane', 'Drogi, mosty - budowa, sprzęt, oznakowanie, sygnalizacja']
Przedsiębiorstwo Wielobranżowe BANIMEX Sp. z o.o.;ul. Energetyczna 1042-504 Będzin;www.banimex.pl;biuro@banimex.pl;['tel./fax (32) 267 79 98', 'kom. 882 138 723'];['Budownictwo inżynieryjne', 'Konstrukcje metalowe, aluminiowe, stalowe', 'Budownictwo hydrotechniczne', 'Drogi, mosty - budowa, sprzęt, oznakowanie, sygnalizacja', 'Prace ziemne i uzbrajanie terenu']
Barosz Gwimet Sp. z o.o.;ul. Zana 6744-321 Marklowice;www.barosz.pl;biuro@barosz.pl;['tel./fax (32) 455 00 33', 'tel./fax (32) 455 00 55'];['Budownictwo inżynieryjne', 'Gospodarka odpadami, surowce wtórne']
CZM Michał Cichy;ul. Gen. A. Kosińskiego 2205-825 Grodzisk Mazowiecki;www.czm.waw.pl;czm@czm.waw.pl;['kom. 500 197 546', 'kom. 601 326 642', 'kom. 601 228 181'];['Budownictwo inżynieryjne', 'Firmy budowlane', 'Nadzór budowlany, kosztorysowanie', 'Ekspertyzy, wdrożenia, analizy']
Dr Ryszard Hnatków WIBROAKUSTYKA Zakład Badawczo-Projektowo-Wdrożeniowy;ul. Jasnogórska 14/1344-100 Gliwice;www.wibroakustyka.eu;rhwibro@wibroakustyka.eu;['kom. 601 482 435'];['Budownictwo inżynieryjne', 'Ochrona środowiska, ekologia', 'Przemysłowe maszyny i urządzenia']
EURO-WELD J.Wenerski-M.Wenerski Sp.j.;ul. Wałowa 483-032 Pszczółki;www.euroweld.pl;info@euroweld.pl;['tel. (58) 550 06 06', 'fax (58) 522 71 18'];['Budownictwo inżynieryjne']
Firma HOF-DOM Krzysztof Hofman;ul. Spółdzielców 4462-510 Konin;www.hofdom.pl;biuro@hofdom.pl;['tel./fax (63) 245 85 30', 'kom. 601 460 666'];['Budownictwo inżynieryjne', 'Okucia budowlane', 'Narzędzia, elektronarzędzia']
Petro-Bud-Serwis Przedsiębiorstwo Remontowo-Budowlano-Serwisowe A.Szczepaniak;Górzna 10077-400 Złotów;www.petrobudserwis.pl;biuro@petrobudserwis.pl;['tel. (67) 263 14 60', 'fax (67) 263 14 77', 'kom. 606 265 880'];['Budownictwo inżynieryjne', 'Samochody ciężarowe - sprzedaż, naprawa', 'Nadzór budowlany, kosztorysowanie']
DABI SM BUDNY Sp. z o.o. Sp.k.;ul. Romualda Traugutta 35243-502 Czechowice-Dziedzice;www.dabi.com.pl;None;['tel. (32) 214 06 13', 'fax (32) 214 62 81', 'kom. 781 900 939'];['Firmy budowlane', 'Budownictwo hydrotechniczne', 'Budownictwo inżynieryjne']
Amiko Marian Reszka;ul. Rekowska 1283-300 Łapalice;www.amiko-roboty.euroadres.pl;None;['fax (58) 681 46 97', 'kom. 669 537 807', 'kom. 693 864 281'];['Budownictwo inżynieryjne']
CIECHBUD;ul. Modzelewskiego 35/3002-679 Warszawa;www.ciechbud.pl;None;['tel./fax (22) 853 06 82'];['Budownictwo inżynieryjne', 'Instalacje, urządzenia sanitarne', 'Instalacje wodno-kanalizacyjne']
Dorado Sp. z o.o.;ul. Tysiąclecia 2838-400 Krosno;www.dorado-krosno.pl;None;['kom. 512 354 309', 'kom. 512 354 308'];['Budownictwo inżynieryjne']
ELDAN;ul. Poziomkowa 22a28-200 Staszów;www.eldan.biz.pl;None;['tel./fax (15) 864 63 83', 'kom. 606 994 284'];['Budownictwo inżynieryjne']
ENERGO EXPERT Sp. z o.o.;ul. 17 Pułk Ułanów 5/167-400 Wschowa;www.energo-expert.com.pl;None;['kom. 601 171 416'];['Budownictwo inżynieryjne']
EURO-HAUS Sp. z o.o.;ul. Chełmska 10541-403 Chełm Śląski;www.euro-haus.eu;None;['tel. (32) 222 59 33', 'kom. 600 049 278'];['Budownictwo inżynieryjne', 'Dachy - materiały i pokrycia dachowe']
INTOP Warszawa Sp. z o.o.;ul. Wiertnicza 10802-952 Warszawa - Wilanów;www.intop.waw.pl;None;['tel. (22) 885 64 31', 'fax (22) 244 53 36'];['Budownictwo inżynieryjne', 'Drogi, mosty - budowa, sprzęt, oznakowanie, sygnalizacja']
MARCOM;ul. Długa 11098-273 Klonowa;www.marcom-net.com;None;['tel. (43) 843 14 45', 'kom. 604 063 038'];['Budownictwo inżynieryjne', 'Internet i usługi hostingowe']
PBK TECHNOWIERT;ul. Jowisza 2/359-220 Legnica;www.przeciskilegnica.pl;None;['kom. 601 709 201'];['Budownictwo inżynieryjne']
Polska Izba Przemysłowo-Handlowa Budownictwa;ul. Rydygiera 701-792 Warszawa - Żoliborz;www.izba.budowlany.pl;None;['tel. (22) 875 97 45', 'tel./fax (22) 839 13 41'];['Budownictwo inżynieryjne', 'Instytuty, ośrodki badawczo rozwojowe', 'Firmy budowlane', 'Budownictwo hydrotechniczne', 'Materiały budowlane']
Przedsiębiorstwo Handlowo-Usługowe ROMBUD;ul. Osiedlowa 2062-030 Luboń;www.phu-rombud.pl;None;['kom. 501 462 993', 'kom. 500 389 557'];['Budownictwo inżynieryjne']
PYTEL Zakład Budowy i Eksploatacji Urządzeń Wodociągowo-Kanalizacyjnych;ul. Główna 45 Miętne08-400 Garwolin;www.wodociagikanalizacjepytel.pl;None;['tel. (25) 682 27 13'];['Budownictwo inżynieryjne', 'Instalacje wodno-kanalizacyjne']
Skanska S.A. Oddział Budownictwa Inżynieryjnego w Krakowie;aleja Powstańców Śląskich 2630-570 Kraków - Podgórze;www.skanska.pl;None;['tel. (12) 261 49 86'];['Budownictwo inżynieryjne']
WODGAZ Sp.j.;ul. Partyzancka 54a45-802 Opole;www.wodgaz.opole.pl;None;['tel./fax (77) 474 44 01'];['Budownictwo inżynieryjne', 'Budownictwo hydrotechniczne']
Zakład Robót Elektrycznych Tadeusz Jaszczewski;ul. Budowlana 720-469 Lublin;www.elektryk.euroadres.pl;None;['tel./fax (81) 743 92 78', 'tel./fax (81) 743 92 79', 'tel. (81) 743 92 80', 'tel. (81) 533 29 54'];['Budownictwo inżynieryjne']
ZBT Sp. z o.o.;ul. Wielkopolska 526-600 Radom;www.zbt.pl;None;['tel. (48) 384 59 95', 'fax (48) 332 22 30', 'tel. (48) 384 59 96'];['Budownictwo inżynieryjne', 'Informatyka']
Biuro Inżynierskie M-INWESTYCJE;ul. Żelazowskiego 2930-694 Kraków - Podgórze;www.m-inwestycje.pl;None;['kom. 508 436 556'];['Biura projektów', 'Budownictwo inżynieryjne', 'Architekci', 'Nadzór budowlany, kosztorysowanie', 'Architektura wnętrz', 'Doradztwo']
EVET Sp.j.;ul. Nobla 6380-172 Gdańsk;www.evet.pl;None;['tel. (58) 733 98 57', 'fax (58) 733 99 57'];['Automatyka przemysłowa', 'Budownictwo inżynieryjne']
JC Robert Kowalko;ul. Antoniukowska 62/1915-845 Białystok;www.budowanaplus.pl;None;['kom. 660 458 484'];['Firmy budowlane', 'Architektura wnętrz', 'Budownictwo inżynieryjne']
KANBUD S.c.;ul. 9 Maja 3/8132-590 Libiąż;www.kanbud.com.pl;None;['tel./fax (32) 627 47 86'];['Prace ziemne i uzbrajanie terenu', 'Budownictwo inżynieryjne', 'Instalacje wodno-kanalizacyjne', 'Firmy budowlane']
P.W. DAR-BET;ul. Kwiatowa 21b41-400 Mysłowice;www.darbet.net.pl;None;['tel./fax (32) 316 33 61', 'kom. 500 233 477'];['Firmy budowlane', 'Budownictwo inżynieryjne']
PNUIK Kraków Sp. z o.o. Przedsiębiorstwo Napraw i Utrzymania Infrastruktury Kolejowej;ul. Prokocimska 430-556 Kraków - Podgórze;www.pnuikkrakow.pl;None;['tel. (12) 623 32 00', 'fax (12) 623 32 35'];['Kolejowy tabor - produkcja, sprzedaż, usługi', 'Budownictwo inżynieryjne']
Projekty i Ekspertyzy Budowlane;ul. Friedleina 4730-009 Kraków - Krowodrza;www.ekspertyzybudowlane.com.pl;None;['kom. 502 136 060'];['Biura projektów', 'Ekspertyzy, wdrożenia, analizy', 'Budownictwo inżynieryjne']
Przedsiębiorstwo Robót Inżynieryjnych i Budowlanych INFRABUD;ul. Zwycięstwa 1675-033 Koszalin;www.infrabud.pl;None;['tel. (94) 347 15 33', 'fax (94) 347 15 34'];['Firmy budowlane', 'Budownictwo inżynieryjne']
WK-Kontenery Lubań;Pisarzowice 26659-800 Lubań;www.wk-kontenery.pl;None;['kom. 697 975 654'];['Kontenery', 'Budownictwo inżynieryjne', 'Dźwigi i urządzenia dźwigowe']
ABACUS Jadwiga Adamus;ul. F.M.Lanciego 8/2902-792 Warszawa - Ursynów;www.adamus.net.pl;j.adamus@adamus.net.pl;['kom. 503 109 992', 'tel./fax (22) 649 43 05', 'tel. (22) 511 13 52', 'kom. 512 488 221- Oddział Piaseczno'];['Biura rachunkowe, doradztwo podatkowe']
ABG Agnieszka Boguszewska Biuro Rachunkowe;ul. Skierniewicka 14/201-230 Warszawa - Wola;www.abg.waw.pl;biuro@abg.waw.pl;['tel. (22) 862 67 75', 'kom. 501 557 525'];['Biura rachunkowe, doradztwo podatkowe']
Aliaga Sp. z o.o.;ul. Sadownicza 154-109 Wrocław - Fabryczna;www.aliaga.com.pl;aliaga13@WP-P‘;['kom. 603 222 613', 'kom. 514 066 619'];['Biura rachunkowe, doradztwo podatkowe', 'Doradztwo', 'Wirtualne biura', 'Finansowe usługi']
Biuro Księgowe Liczydło;ul. Powsińska 106 lok.10202-903 Warszawa - Mokotów;www.bkliczydlo.com.pl;kznczydloawp-pl;['tel. (22) 668 61 28', 'kom. 502 282 397'];['Biura rachunkowe, doradztwo podatkowe']
Biuro Rachunkowe BUCHALTER;ul. Rybacka 386-200 Chełmno;www.buchalter.home.pl;buchalter@buchalter.home.pl;['tel. (56) 691 20 80', 'fax (56) 691 20 90'];['Biura rachunkowe, doradztwo podatkowe']
Biuro Rachunkowe LEX Piotr Pawlik;ul. Rzeszowska 339-460 Nowa Dęba;www.biuro-lex.com;biurolexnd@gmail.com;['tel. (15) 846 35 97', 'kom. 697 692 387'];['Biura rachunkowe, doradztwo podatkowe']
Biuro Rachunkowe SIGMA S.c. Katarzyna Lech, Andrzej Lech, Paweł Lech;ul. Gersona 903-307 Warszawa - Praga-Północ;www.brsigma.com.pl;brsigma@supermedia.pl;['tel. (22) 675 04 56', 'tel. (22) 676 91 99', 'tel. (22) 839 00 81 ul. Pogonowskiego', 'tel./fax (22) 663 71 74 ul. Pogonowskiego'];['Biura rachunkowe, doradztwo podatkowe']
Fenix-Tax;ul. Żywiecka 155 a43-300 Bielsko-Biała;www.fenixtax.pl;biuro@fenixtax.pl;['tel./fax (33) 829 33 91', 'kom. 515 096 602'];['Biura rachunkowe, doradztwo podatkowe', 'Finansowe usługi']
Firma Księgowa Antoni Tekieli;ul. Kobierzyńska 139b30-382 Kraków - Podgórze;www.tekieli.krakinfo.pl;tekieli@korelacja.pl;['kom. 602 255 060'];['Biura rachunkowe, doradztwo podatkowe']
Kancelaria Doradztwa Podatkowego Marta Dziennik;ul. Drzymały 10/170-217 Szczecin;www.mojepodatki.pl;biuro@mojepodatki.pl;['tel./fax (91) 488 94 01'];['Biura rachunkowe, doradztwo podatkowe']
Kancelaria Doradztwa Prawnego i Podatkowego GRAMA;ul. Skrzetuskiego 23a02-726 Warszawa - Mokotów;www.grama.fp.pl;grama@fP-P‘;['tel. (22) 843 00 13', 'tel. (22) 845 54 09'];['Biura rachunkowe, doradztwo podatkowe']
Kancelaria Usług Księgowych MaderaFinanse;ul. Rysia 1/253-656 Wrocław - Fabryczna;www.maderafinanse.pl;biuro@maderafinanse.pl;['kom. 605 554 191'];['Biura rachunkowe, doradztwo podatkowe']
MKSALVIA Biuro Księgowe;ul. Niekłańska 11a/103-924 Warszawa - Praga-Południe;www.mksalvia.pl;biuro@mksalvia.pl;['tel. (22) 810 10 03', 'kom. 514 700 770'];['Biura rachunkowe, doradztwo podatkowe']
Polskie Centrum Usług Doradczych Sp. z o.o.;ul. Leszno 8/1701-192 Warszawa - Wola;www.pcud.pl;biuro@pcud.pl;['tel. (22) 622 33 04', 'kom. 602 580 902'];['Biura rachunkowe, doradztwo podatkowe', 'Doradztwo', 'Finansowe usługi']
